ISO,Country,latitude,longitude,depth,mag,year,month,day,Total affected,Total deaths,Total damage ('000 US$),2017
AFG,Afghanistan,35.169000000000004,69.389,62.1,5.0,2001.0,6.0,1.0,270,4,0,0.498
AFG,Afghanistan,36.429,70.438,209.0,6.3,2002.0,3.0,3.0,3513,150,0,0.498
AFG,Afghanistan,33.426,69.524,10.0,5.2,2004.0,7.0,18.0,1040,2,0,0.498
AFG,Afghanistan,34.539,73.58800000000001,26.0,7.6,2005.0,10.0,8.0,0,1,50,0.498
AFG,Afghanistan,37.255,68.828,34.2,5.6,2006.0,7.0,29.0,935,1,0,0.498
AFG,Afghanistan,35.633,67.658,13.0,5.6,2010.0,4.0,18.0,1070,11,0,0.498
DZA,Algeria,36.964,3.634,12.0,6.8,2003.0,5.0,21.0,210261,2266,5000000,0.754
DZA,Algeria,36.939,3.5780000000000003,8.0,5.8,2003.0,5.0,27.0,200,9,0,0.754
DZA,Algeria,36.852,3.418,10.0,4.5,2004.0,1.0,10.0,300,0,0,0.754
DZA,Algeria,36.848,3.448,10.0,4.5,2004.0,12.0,1.0,15,0,0,0.754
DZA,Algeria,36.623000000000005,5.327999999999999,10.0,5.2,2006.0,3.0,20.0,319,4,0,0.754
ASM,Samoa,-15.489,-172.095,18.0,8.1,2009.0,9.0,29.0,2500,34,0,0.713
ARG,Argentina,-28.936999999999998,-66.797,22.2,6.0,2002.0,5.0,28.0,727,0,0,0.825
BGD,Bangladesh,22.854,92.306,10.0,5.7,2003.0,7.0,26.0,2525,2,0,0.608
BGD,Bangladesh,3.295,95.98200000000001,30.0,9.1,2004.0,12.0,26.0,0,2,500000,0.608
BRB,Barbados,14.944,-61.273999999999994,156.0,7.4,2007.0,11.0,29.0,1,0,0,0.8
BTN,Bhutan,27.331999999999997,91.43700000000001,14.0,6.1,2009.0,9.0,21.0,12,11,0,0.612
BTN,Bhutan,27.73,88.155,50.0,6.9,2011.0,9.0,18.0,20016,1,0,0.612
BRA,Brazil,-15.048,-44.231,10.0,4.9,2007.0,12.0,9.0,286,1,0,0.759
BGR,Bulgaria,41.708,25.544,10.0,4.6,2006.0,2.0,20.0,527,0,0,0.813
BDI,Burundi,-3.3930000000000002,29.558000000000003,10.0,4.7,2004.0,2.0,24.0,120,3,0,0.41700000000000004
CHL,Chile,-19.987000000000002,-69.197,115.6,7.8,2005.0,6.0,13.0,27645,11,5000,0.843
CHL,Chile,-45.243,-72.648,36.7,6.2,2007.0,4.0,21.0,0,10,0,0.843
CHL,Chile,-22.247,-69.89,40.0,7.7,2007.0,11.0,14.0,25155,2,100000,0.843
CHL,Chile,-35.2,-72.217,40.7,7.1,2012.0,3.0,25.0,24297,1,100000,0.843
CHN,China,25.607,101.06299999999999,33.0,5.9,2000.0,1.0,14.0,1855007,7,73500,0.752
CHN,China,40.498000000000005,122.994,10.0,5.1,2000.0,1.0,11.0,62030,0,0,0.752
CHN,China,29.513,101.12899999999999,33.0,5.6,2001.0,2.0,23.0,300109,3,24000,0.752
CHN,China,24.768,99.061,10.0,5.6,2001.0,4.0,12.0,150190,2,31000,0.752
CHN,China,27.689,101.00299999999999,33.0,5.5,2001.0,5.0,23.0,10605,2,36000,0.752
CHN,China,24.455,102.66,33.0,4.6,2001.0,7.0,14.0,25000,0,0,0.752
CHN,China,26.316,100.648,10.0,5.6,2001.0,10.0,27.0,17220,1,0,0.752
CHN,China,39.736,97.443,22.0,5.6,2002.0,12.0,14.0,65500,2,0,0.752
CHN,China,39.61,77.23,11.0,6.3,2003.0,2.0,24.0,517000,268,157000,0.752
CHN,China,37.529,96.476,14.0,6.4,2003.0,4.0,17.0,3300,0,0,0.752
CHN,China,39.43,77.219,10.0,5.8,2003.0,5.0,4.0,8003,1,0,0.752
CHN,China,25.975,101.29,10.0,6.0,2003.0,7.0,21.0,1295584,16,75000,0.752
CHN,China,43.77,119.64299999999999,24.4,5.4,2003.0,8.0,16.0,455500,4,167000,0.752
CHN,China,25.954,101.25399999999999,33.0,5.6,2003.0,10.0,16.0,60056,3,60000,0.752
CHN,China,38.383,100.975,10.0,5.8,2003.0,10.0,25.0,275043,9,40000,0.752
CHN,China,34.711999999999996,103.834,10.0,5.1,2003.0,11.0,13.0,23369,1,0,0.752
CHN,China,27.372,103.971,33.0,5.6,2003.0,11.0,14.0,493065,4,0,0.752
CHN,China,42.905,80.515,10.0,6.0,2003.0,12.0,1.0,6018,11,1933,0.752
CHN,China,27.283,103.75299999999999,33.0,4.7,2003.0,11.0,26.0,10004,0,0,0.752
