ISO,Country,latitude,longitude,depth,mag,year,month,day,Total affected,Total deaths,Total damage ('000 US$),2017,pop_count
AFG,Afghanistan,34.539,73.58800000000002,26.0,7.6,2005.0,10.0,8.0,0,1,50,0.498,0
ASM,Samoa,-15.489,-172.095,18.0,8.1,2009.0,9.0,29.0,2500,34,0,0.713,0
BGD,Bangladesh,3.295,95.982,30.0,9.1,2004.0,12.0,26.0,0,2,500000,0.608,0
BRB,Barbados,14.944,-61.274,156.0,7.4,2007.0,11.0,29.0,1,0,0,0.8,0
BTN,Bhutan,27.73,88.155,50.0,6.9,2011.0,9.0,18.0,20016,1,0,0.612,46408
CHL,Chile,-45.243,-72.648,36.7,6.2,2007.0,4.0,21.0,0,10,0,0.843,61019
CHN,China,20.687,99.822,8.0,6.9,2011.0,3.0,24.0,9508,0,0,0.752,151385
COD,Congo,-6.224,29.83,22.0,6.8,2005.0,12.0,5.0,1505,6,0,0.606,280291
GTM,Guatemala,13.049,-88.66,60.0,7.7,2001.0,1.0,13.0,152,6,50,0.65,0
IND,India,3.295,95.982,30.0,9.1,2004.0,12.0,26.0,654512,16389,1022800,0.64,0
IDN,Indonesia,-4.646,102.102,33.0,6.7,2000.0,6.0,4.0,204714,103,41000,0.6940000000000001,885814
IDN,Indonesia,-4.612,101.905,33.0,6.7,2000.0,6.0,7.0,3000,1,0,0.6940000000000001,663397
IDN,Indonesia,-1.757,134.297,10.0,7.6,2002.0,10.0,10.0,9082,8,0,0.6940000000000001,149043
IDN,Indonesia,-1.68,134.234,10.0,6.4,2002.0,9.0,20.0,155,0,0,0.6940000000000001,149043
IDN,Indonesia,3.295,95.982,30.0,9.1,2004.0,12.0,26.0,532898,165708,4451600,0.6940000000000001,349811
IDN,Indonesia,2.085,97.108,30.0,8.6,2005.0,3.0,28.0,105313,915,0,0.6940000000000001,395923
IDN,Indonesia,-9.284,107.419,20.0,7.7,2006.0,7.0,17.0,35543,802,55000,0.6940000000000001,0
IDN,Indonesia,1.271,122.091,30.0,7.4,2008.0,11.0,16.0,10077,6,0,0.6940000000000001,685866
IDN,Indonesia,-3.487,100.082,20.1,7.8,2010.0,10.0,25.0,11864,530,0,0.6940000000000001,0
IRN,Iran,27.022,53.861,10.0,5.8,2010.0,7.0,20.0,32,1,0,0.7979999999999999,647896
IRN,Iran,28.033,61.996,80.0,7.7,2013.0,4.0,16.0,27,0,0,0.7979999999999999,366691
KEN,Kenya,3.295,95.982,30.0,9.1,2004.0,12.0,26.0,0,1,100000,0.59,0
MYS,Malaysia,3.295,95.982,30.0,9.1,2004.0,12.0,26.0,5063,80,500000,0.802,0
MDV,Maldives,3.295,95.982,30.0,9.1,2004.0,12.0,26.0,27214,102,470100,0.7170000000000001,0
MMR,Myanmar,3.295,95.982,30.0,9.1,2004.0,12.0,26.0,15700,71,500000,0.578,0
PAK,Pakistan,36.429,70.438,209.0,6.3,2002.0,3.0,3.0,0,3,0,0.562,0
PAK,Pakistan,28.033,61.996,80.0,7.7,2013.0,4.0,16.0,15175,41,0,0.562,24230
PER,Peru,-19.987,-69.197,115.6,7.8,2005.0,6.0,13.0,0,0,50,0.75,0
PHL,Philippines,10.811,126.638,28.0,7.6,2012.0,8.0,31.0,28879,1,3244,0.6990000000000001,130290
RUS,Russia,60.949,167.08900000000003,22.0,7.6,2006.0,4.0,20.0,12040,0,55000,0.816,0
LCA,Saint Lucia,14.944,-61.274,156.0,7.4,2007.0,11.0,29.0,0,0,0,0.747,89828
SYC,Seychelles,3.295,95.982,30.0,9.1,2004.0,12.0,26.0,4830,3,30000,0.797,0
SLB,Solomon Islands,-10.799,165.114,24.0,8.0,2013.0,2.0,6.0,3329,10,2000,0.546,12322
LKA,Sri Lanka,3.295,95.982,30.0,9.1,2004.0,12.0,26.0,1019306,35399,1316500,0.77,0
TJK,Tajikistan,36.429,70.438,209.0,6.3,2002.0,3.0,3.0,500,0,0,0.65,0
TJK,Tajikistan,40.081,71.41,20.0,6.1,2011.0,7.0,19.0,0,0,0,0.65,436785
TZA,Tanzania,3.295,95.982,30.0,9.1,2004.0,12.0,26.0,0,10,0,0.5379999999999999,0
THA,Thailand,3.295,95.982,30.0,9.1,2004.0,12.0,26.0,67007,8345,1000000,0.755,0
USA,United States of America,19.878,-155.935,38.9,6.7,2006.0,10.0,15.0,3529,0,150000,0.924,0
BGD,Bangladesh,28.2305,84.7314,8.22,7.8,2015.0,4.0,25.0,200,4,0,0.608,0
BGD,Bangladesh,24.8036,93.6505,55.0,6.7,2016.0,1.0,3.0,70,5,0,0.608,0
CHL,Chile,-19.6097,-70.7691,25.0,8.2,2014.0,4.0,1.0,513387,6,100000,0.843,99141
IND,India,28.2305,84.7314,8.22,7.8,2015.0,4.0,25.0,560,78,0,0.64,1456040
IND,India,27.8087,86.0655,15.0,7.3,2015.0,5.0,12.0,0,20,0,0.64,0
IND,India,36.5244,70.3676,231.0,7.5,2015.0,10.0,26.0,10,0,0,0.64,0
PAK,Pakistan,26.951,65.5009,15.0,7.7,2013.0,9.0,24.0,185749,399,100000,0.562,289155
PAK,Pakistan,27.1825,65.5052,12.0,6.8,2013.0,9.0,28.0,50,22,0,0.562,289155
PAK,Pakistan,36.4725,71.1311,212.0,6.6,2016.0,4.0,10.0,142,6,0,0.562,272841
WSM,Samoa,-15.489,-172.095,18.0,8.1,2009.0,9.0,29.0,5584,148,124040,0.713,0
TJK,Tajikistan,38.2107,72.7797,22.0,7.2,2015.0,12.0,7.0,7976,2,5000,0.65,127716
TON,Tonga,-15.489,-172.095,18.0,8.1,2009.0,9.0,29.0,507,9,9500,0.726,0
USA,United States of America,47.149,-122.7266667,51.798,6.8,2001.0,2.0,28.0,400,1,2000000,0.924,0
USA,United States of America,35.7005,-121.1005,8.382,6.5,2003.0,12.0,22.0,160,2,200000,0.924,0
USA,United States of America,40.652,-124.6925,28.737,6.5,2010.0,1.0,10.0,630,0,12500,0.924,0
USA,United States of America,35.9907,-96.803,4.43,5.0,2016.0,11.0,7.0,120,0,20000,0.924,0
IDN,Indonesia,-4.438,101.367,34.0,8.4,2007.0,9.0,12.0,459567,25,500000,0.6940000000000001,302918
JPN,Japan,38.297,142.373,29.0,9.1,2011.0,3.0,11.0,368820,19846,210000000,0.909,369456
IDN,Indonesia,-3.8727,127.2292,4.11,5.6,2016.0,1.0,16.0,368,0,0,0.6940000000000001,635098
MEX,Mexico,15.0222,-93.8993,47.39,8.2,2017.0,9.0,8.0,1200250,98,2300000,0.774,129846
USA,United States of America,38.3788333,-122.4133333,9.367,4.9,2000.0,9.0,3.0,25174,0,50000,0.924,0
USA,United States of America,41.1444,-114.8721,7.9,5.9,2008.0,2.0,21.0,2103,0,0,0.924,0
USA,United States of America,38.21516670000001,-122.3123333,11.12,6.02,2014.0,8.0,24.0,3250,1,700000,0.924,0
PAK,Pakistan,36.5244,70.3676,231.0,7.5,2015.0,10.0,26.0,502590,280,0,0.562,0
CHN,China,28.2305,84.7314,8.22,7.8,2015.0,4.0,25.0,207883,29,0,0.752,12840
IDN,Indonesia,2.327,93.063,20.0,8.6,2012.0,4.0,11.0,107,7,0,0.6940000000000001,0
GRC,Greece,36.137,21.828000000000007,33.0,4.9,2000.0,5.0,26.0,600,0,0,0.87,193308
CHN,China,39.383,81.307,38.0,5.9,2012.0,3.0,8.0,36641,0,84000,0.752,10180
KAZ,Kazakhstan,42.6861,141.9294,35.0,6.6,2018.0,9.0,5.0,36626,3,0,0.8,0
KGZ,Kyrgyzstan,36.0735,129.28,10.0,5.5,2017.0,11.0,15.0,12050,0,0,0.672,0
PAK,Pakistan,11.642,-85.8779,135.0,6.6,2014.0,4.0,11.0,914292,12,500,0.562,0
PAK,Pakistan,36.4935,71.1263,206.0,6.3,2015.0,12.0,25.0,142,6,0,0.562,272841
